Date,Open,High,Low,Close ,Adj Close ,Volume
11-Dec-24,137.3,137.77,136.64,137.73,137.73,"186,976"
10-Dec-24,136.17,137.27,134.38,136.08,136.08,"931,300"
9-Dec-24,137.99,138.93,135.73,136.15,136.15,"873,100"
6-Dec-24,138.24,139.36,137.8,137.83,137.83,"668,600"
5-Dec-24,138.39,138.85,137.18,137.74,137.74,"599,000"
4-Dec-24,137.7,139.09,137.33,138.36,138.36,"669,200"
3-Dec-24,139.73,140.1,137.72,138,138,"658,800"
2-Dec-24,141.25,141.25,139.33,139.87,139.87,"816,900"
29-Nov-24,141.23,141.9,140.2,141.23,141.23,"1,002,600"
27-Nov-24,141,142.8,140.25,141.21,141.21,"711,700"
26-Nov-24,139.3,140.76,138.19,140.69,140.69,"953,500"
25-Nov-24,137.75,143.25,137.04,139.3,139.3,"1,205,900"
22-Nov-24,136.51,138.23,135.37,137.36,137.36,"657,100"
21-Nov-24,133.05,136.26,132.24,135.43,135.43,"1,034,900"
20-Nov-24,135.42,135.63,131.88,132.5,132.5,"1,213,100"
19-Nov-24,136.84,139.5,131.09,133.52,133.52,"1,928,100"
18-Nov-24,140.48,141.84,139.54,140.35,140.35,"809,700"
15-Nov-24,140.22,141.28,138.89,140.01,140.01,"1,031,800"
14-Nov-24,148.51,149.35,139.87,140.61,140.61,"1,452,100"
13-Nov-24,147.68,150.54,147.36,149.25,149.25,"862,100"
12-Nov-24,147,147.74,146.37,147.11,147.11,"502,200"
11-Nov-24,147.53,148.36,146.49,146.88,146.88,"570,700"
8-Nov-24,145,146.81,144.25,146.43,146.43,"850,900"
7-Nov-24,147.1,147.37,144.55,144.85,144.85,"471,000"
6-Nov-24,146.43,148.89,145.71,147.62,147.62,"739,700"
5-Nov-24,140,141.74,140,141.69,141.69,"398,700"
4-Nov-24,139.82,141.09,139.28,139.84,139.84,"642,400"
1-Nov-24,141.39,141.87,139.4,139.62,139.62,"657,400"
31-Oct-24,140.89,142,140.28,140.58,140.58,"885,500"
30-Oct-24,142.68,144.03,141.37,141.4,141.4,"638,000"
29-Oct-24,141.05,143.55,140.31,142.83,142.83,"669,900"
28-Oct-24,141.2,141.65,140.54,141.2,141.2,"458,600"
25-Oct-24,0.29 Dividend,,,,,
25-Oct-24,142.4,142.4,139.9,140.52,140.52,"450,700"
24-Oct-24,141.56,142.34,140.4,141.75,141.46,"392,900"
23-Oct-24,141.48,142.36,140.89,141.38,141.09,"574,700"
22-Oct-24,143.39,143.39,141.36,141.75,141.46,"482,100"
21-Oct-24,143.91,144.56,143.03,143.54,143.25,"547,100"
18-Oct-24,143.62,143.96,142.13,143.9,143.61,"654,600"
17-Oct-24,141.6,143.45,140.59,143.1,142.81,"661,100"
16-Oct-24,138.42,141.66,138.42,141.23,140.94,"675,500"
15-Oct-24,139.5,139.71,138.19,138.34,138.06,"834,300"
14-Oct-24,138.48,139.85,138.02,139.33,139.04,"604,700"
11-Oct-24,136.9,138.75,136.87,138.46,138.18,"602,300"
10-Oct-24,137.04,137.21,135.82,136.76,136.48,"877,000"
9-Oct-24,137.31,138.04,136.51,137.28,137,"707,900"
8-Oct-24,138.2,138.52,136.22,137.35,137.07,"831,900"
7-Oct-24,139.69,139.69,137.43,137.97,137.69,"1,186,500"
